name,subnet,interfaceIp,vlanId,switch,network
FAC STORE TO CORE,10.1.2.0/24,10.1.2.5,12,C-SW-FAS-01,College
Facilities Staff,10.1.37.0/24,10.1.37.1,37,C-SW-FAS-01,College
SC Flat 1,10.3.1.0/27,10.3.1.1,201,C-SW-SCO-01,College
SC Flat 5,10.3.1.128/27,10.3.1.129,205,C-SW-SCO-01,College
SC Flat 6,10.3.1.160/27,10.3.1.161,206,C-SW-SCO-01,College
SC Flat 7,10.3.1.192/27,10.3.1.193,207,C-SW-SCO-01,College
SC Flat 8,10.3.1.224/27,10.3.1.225,208,C-SW-SCO-01,College
SC Flat 2,10.3.1.32/27,10.3.1.33,202,C-SW-SCO-01,College
SC Flat 3,10.3.1.64/27,10.3.1.65,203,C-SW-SCO-01,College
SC Flat 4,10.3.1.96/27,10.3.1.97,204,C-SW-SCO-01,College
SC Flat 9,10.3.2.0/27,10.3.2.1,209,C-SW-SCO-01,College
SC Flat 13,10.3.2.128/27,10.3.2.129,213,C-SW-SCO-01,College
SC Flat 14,10.3.2.160/27,10.3.2.161,214,C-SW-SCO-01,College
SC Flat 15,10.3.2.192/27,10.3.2.193,215,C-SW-SCO-01,College
SC Flat 16,10.3.2.224/27,10.3.2.225,216,C-SW-SCO-01,College
SC Flat 10,10.3.2.32/27,10.3.2.33,210,C-SW-SCO-01,College
SC Flat 11,10.3.2.64/27,10.3.2.65,211,C-SW-SCO-01,College
SC Flat 12,10.3.2.96/27,10.3.2.97,212,C-SW-SCO-01,College
SC Flat 17,10.3.3.0/27,10.3.3.1,217,C-SW-SCO-01,College
SC Flat 18,10.3.3.32/27,10.3.3.33,218,C-SW-SCO-01,College
SOUTHCOTE TO CORE,10.1.2.0/24,10.1.2.15,12,C-SW-SCO-01,College
SVR ROOM TO CORE TRUNK,10.1.2.0/24,10.1.2.13,12,C-SW-MDF-01,College
Catering,10.1.29.0/24,10.1.29.1,29,C-SW-MDF-01,College
TENNIS COURT TO CORE,10.1.2.0/24,10.1.2.14,12,C-SW-TCG-01,College
Tennis Court,10.1.50.0/24,10.1.50.1,50,C-SW-TCG-01,College
Switch L3 Trunks,10.1.2.0/24,10.1.2.17,12,C-SW-CHP-01,College
Chapel,10.1.51.0/24,10.1.51.1,51,C-SW-CHP-01,College
LB TO CORE TRUNK,10.1.2.0/24,10.1.2.4,12,C-SW-LB1-01,College
Languages,10.1.45.0/24,10.1.45.1,45,C-SW-LB1-01,College
Scoreboard,10.1.81.0/27,10.1.81.1,801,ACTIVITY CENTRE,College
Switch L3 Trunks,10.1.2.0/24,10.1.2.16,12,ACTIVITY CENTRE,College
AC CCTV,192.168.2.0/24,192.168.2.254,252,ACTIVITY CENTRE,College
Switch L3 Trunks,10.1.2.0/24,10.1.2.11,12,STUDENT SERVICES,College
Red House Ground,10.1.44.0/24,10.1.44.1,44,STUDENT SERVICES,College
KEAN TO CORE,10.1.2.0/24,10.1.2.2,12,KEAN UPPER,College
Kean,10.1.40.0/24,10.1.40.1,40,KEAN UPPER,College
Switch L3 Trunks,10.1.2.0/24,10.1.2.3,12,G BLOCK,College
G Block Staff,10.1.38.0/24,10.1.38.1,38,G BLOCK,College
G Block Students,10.1.39.0/24,10.1.39.1,39,G BLOCK,College
Josephites,10.1.18.0/24,10.1.18.1,18,WHITEHOUSE,College
Switch L3 Trunks,10.1.2.0/24,10.1.2.12,12,WHITEHOUSE,College
Whitehouse Staff,10.1.30.0/24,10.1.30.1,30,WHITEHOUSE,College
Library Students,10.1.31.0/24,10.1.31.1,31,WHITEHOUSE,College
Firewall,10.1.254.0/30,10.1.254.2,1002,SGCCORE,College
NEW JS TRUNK,10.255.255.0/30,10.255.255.1,1999,SGCCORE,College
Digital Signage,10.1.180.0/25,10.1.180.1,180,SGCCORE,College
SERVERS,10.1.0.0/24,10.1.0.254,10,SGCCORE,College
OLD HUAWEI,10.1.100.0/24,10.1.100.1,100,SGCCORE,College
INTERNET,10.1.1.0/24,10.1.1.1,11,SGCCORE,College
PDQs,10.1.13.0/24,10.1.13.1,13,SGCCORE,College
New CCTV,10.1.160.0/24,10.1.160.1,160,SGCCORE,College
WiFi APs,10.1.16.0/24,10.1.16.1,16,SGCCORE,College
Lighting,10.1.161.0/24,10.1.161.1,161,SGCCORE,College
Switch L3 Trunks,10.1.2.0/24,10.1.2.1,12,SGCCORE,College
ITS,10.1.35.0/24,10.1.35.1,35,SGCCORE,College
Printers,10.1.4.0/24,10.1.4.1,14,SGCCORE,College
Science,10.1.42.0/24,10.1.42.1,42,SGCCORE,College
DL TEST,10.3.128.0/24,10.3.128.1,2000,SGCCORE,College
Southcote Temp,172.16.70.0/24,172.16.70.1,770,SGCCORE,College
Factilites Maintenance,192.168.0.0/24,192.168.0.254,250,SGCCORE,College
SGJ TRUNK,192.168.100.0/24,192.168.100.1,1000,SGCCORE,College
Domain WiFi,10.1.150.0/23,10.1.150.1,150,SGCCORE,College
Door System,10.1.162.0/23,10.1.162.1,162,SGCCORE,College
WiFi Cloudpath,172.16.8.0/22,172.16.8.1,701,SGCCORE,College
iPads,10.1.56.0/21,10.1.56.1,56,SGCCORE,College
WiFi BYOD,172.16.0.0/21,172.16.0.1,700,SGCCORE,College
Events,172.16.88.0/21,172.16.88.1,790,SGCCORE,College
Switch L3 Trunks,10.1.2.0/24,10.1.2.8,12,HENDERSON,College
Henderson,10.1.49.0/24,10.1.49.1,49,HENDERSON,College
Switch L3 Trunks,10.1.2.0/24,10.1.2.6,12,R8,College
R8 Staff,10.1.47.0/24,10.1.47.1,47,R8,College
R8 Students,10.1.48.0/24,10.1.48.1,48,R8,College
Switch L3 Trunks,10.1.2.0/24,10.1.2.7,12,RED HOUSE OFFICES,College
Red House Offices,10.1.36.0/24,10.1.36.1,36,RED HOUSE OFFICES,College
DL TESTING,10.1.52.0/24,10.1.52.1,52,RED HOUSE OFFICES,College
BYOD RH2,10.3.129.0/24,10.3.129.1,2001,RED HOUSE OFFICES,College
Switch L3 Trunks,10.1.2.0/24,10.1.2.9,12,TECHNOLOGY,College
Technology,10.1.34.0/24,10.1.34.1,34,TECHNOLOGY,College
Switch L3 Turnks,10.1.2.0/24,10.1.2.10,12,R18,College
RH1 Offices,10.1.32.0/24,10.1.32.1,32,R18,College
Red House R18,10.3.130.0/24,10.3.130.1,2002,R18,College
Switches L3 Trunks,10.2.12.0/24,10.2.12.5,12,J-SW-JER-01,Junior School
Jeruselum Staff,10.2.24.0/24,10.2.24.1,24,J-SW-JER-01,Junior School
Switches L3 Trunks,10.2.12.0/24,10.2.12.7,12,ARK,Junior School
Ark,10.2.25.0/24,10.2.25.1,25,ARK,Junior School
Switch L3 Trunks,10.2.12.0/24,10.2.12.2,12,MAIN BUILDING GROUND,Junior School
MBG Staff,10.2.20.0/24,10.2.20.1,20,MAIN BUILDING GROUND,Junior School
MBG Pupils,10.2.21.0/24,10.2.21.1,21,MAIN BUILDING GROUND,Junior School
Switches L3 Trunks,10.2.12.0/24,10.2.12.8,12,PAC,Junior School
PAC Staff,10.2.27.0/24,10.2.27.1,27,PAC,Junior School
PAC Pupils,10.2.28.0/24,10.2.28.1,28,PAC,Junior School
JS EXTERNAL TEST,10.2.253.0/30,10.2.253.2,253,SGJCORE,Junior School
Firewall,10.2.254.0/30,10.2.254.2,1002,SGJCORE,Junior School
Digital Signage,10.1.180.128/25,10.1.180.129,180,SGJCORE,Junior School
Lighting,10.2.161.0/25,10.2.161.1,161,SGJCORE,Junior School
CORE,10.2.0.0/24,10.2.0.1,200,SGJCORE,Junior School
Switches,10.2.12.0/24,10.2.12.1,12,SGJCORE,Junior School
Printers,10.2.14.0/24,10.2.14.1,14,SGJCORE,Junior School
Avaya,10.2.15.0/24,10.2.15.1,15,SGJCORE,Junior School
CCTV,10.2.160.0/24,10.2.160.1,160,SGJCORE,Junior School
WiFi APs,10.2.16.0/24,10.2.16.1,16,SGJCORE,Junior School
ITS,10.2.35.0/24,10.2.35.1,35,SGJCORE,Junior School
IT TEST,10.2.50.0/24,10.2.50.2,50,SGJCORE,Junior School
Facilities,192.168.0.0/24,192.168.0.252,250,SGJCORE,Junior School
LES,192.168.100.0/24,192.168.100.2,1000,SGJCORE,Junior School
Domain WiFi,10.2.150.0/23,10.2.150.1,150,SGJCORE,Junior School
WiFi Cloudpath,172.18.8.0/22,172.18.8.1,701,SGJCORE,Junior School
iPads,10.2.56.0/21,10.2.56.1,56,SGJCORE,Junior School
Events,10.2.88.0/21,10.2.88.1,790,SGJCORE,Junior School
BYOD,172.18.0.0/21,172.18.0.1,700,SGJCORE,Junior School
Switches L3 Trunks,10.2.12.0/24,10.2.12.6,12,MAIN BUILDING FIRST,Junior School
MB1 Staff,10.2.22.0/24,10.2.22.1,22,MAIN BUILDING FIRST,Junior School
MB1 Pupils,10.2.23.0/24,10.2.23.1,23,MAIN BUILDING FIRST,Junior School
